num_packets_up,num_packet_down,total_bytes_up,min_pkt_size_up,max_pkt_size_up,mean_pkt_size_up,std_pkt_size_up,total_bytes_down,min_pkt_size_down,max_pkt_size_down,mean_pkt_size_down,std_pkt_size_down,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,min_iat_dowj,max_iat_down,mean_iat_down,std_iat_down,website
594,619,180689.0,40.0,16071.0,304.1902356902357,1297.6544799162928,792277.0,40.0,17980.0,1279.930533117932,2840.439468143829,4.000000000000001e-06,5.9546220000000005,0.029964435075885327,0.3155781930955876,0.0,7.756344,0.028747200647249192,0.39615982446068587,indiatimes.com
1113,1013,215642.0,40.0,1520.0,193.74842767295598,339.3402898830365,941498.0,40.0,19020.0,929.4155972359329,2456.3828604169507,5e-06,5.776473,0.017264368705035973,0.20151745839124904,1.0000000000000002e-06,5.776419000000001,0.01896876086956522,0.24588732189334903,bbc.co.uk
728,656,127360.0,40.0,1790.0,174.94505494505495,313.11889318356003,918003.0,40.0,39460.0,1399.3948170731708,4258.2546338052925,6e-06,6.048301,0.02610123658872077,0.2615959222519065,1.0000000000000002e-06,11.215174000000001,0.028966448854961836,0.45657691230819364,ndtv.com
854,807,138848.0,40.0,1768.0,162.5854800936768,289.62344324053856,1350276.0,40.0,40920.0,1673.2044609665427,4558.766396313671,0.0,6.190669000000001,0.021775133645955454,0.2467287575609907,1.0000000000000002e-06,10.229787,0.023037827543424316,0.38704184829291877,ndtv.com
328,298,51961.0,40.0,1385.0,158.41768292682926,273.0735121725874,409122.0,40.0,20480.0,1372.8926174496644,3603.7112644215895,0.0,6.413543000000001,0.06185024159021408,0.47464886814732166,1.0000000000000002e-06,14.297269,0.06808414478114479,0.8370692955027572,cnn.com
322,271,70556.0,40.0,2960.0,219.11801242236024,371.3422547217481,603636.0,40.0,33344.0,2227.439114391144,5119.895844117588,7.000000000000001e-06,3.988811,0.05811624922118381,0.3241924202902309,1.0000000000000002e-06,5.332448,0.04267844444444445,0.32975479066988894,news.yahoo.com
344,322,48751.0,40.0,1385.0,141.71802325581396,253.40636563929962,471059.0,40.0,16567.0,1462.916149068323,3357.98180595823,5e-06,7.680391,0.0540190612244898,0.46310652776818856,1.0000000000000002e-06,7.678677,0.05770911214953271,0.5199767962838462,news18.com
572,503,153702.0,40.0,6228.0,268.7097902097902,495.7159513495331,866939.0,40.0,35080.0,1723.5367793240557,4064.308399601448,0.0,2.9270940000000003,0.03404049036777583,0.21812085319936464,0.0,5.14989,0.038711699203187254,0.32331843346354466,news18.com
884,812,199312.0,40.0,2960.0,225.4660633484163,425.03309574941744,875192.0,40.0,6285.0,1077.8226600985222,1537.1539823818794,2.0000000000000003e-06,2.3523620000000003,0.018507895809739525,0.13010004180719556,1.0000000000000002e-06,4.003419,0.02014160912453761,0.2051127807678374,dailymail.co.uk
930,937,177234.0,40.0,3134.0,190.5741935483871,379.0663781343722,1093060.0,40.0,59488.0,1166.5528281750267,4100.379926324918,5e-06,1.0414020000000002,0.02109287190527449,0.08005894626144709,0.0,1.041339,0.020932206196581198,0.08047268184544416,finance.yahoo.com
573,536,123344.0,40.0,1972.0,215.26003490401396,368.921396707957,873712.0,40.0,56980.0,1630.0597014925372,5334.245750200479,8.000000000000001e-06,5.518017,0.02955778846153846,0.283846360742434,1.0000000000000002e-06,13.491106,0.031596029906542054,0.583375585309458,nytimes.com
1516,1370,417038.0,40.0,7340.0,275.0910290237467,510.57635163622837,747467.0,40.0,23400.0,545.5963503649635,1781.746709845046,7.000000000000001e-06,2.1347,0.012719337293729375,0.09590461488119502,1.0000000000000002e-06,2.1352510000000002,0.014073704163623085,0.11394137380798454,nypost.com
861,870,113789.0,40.0,1385.0,132.15911730545878,203.00295335498902,2753004.0,40.0,64280.0,3164.3724137931035,7694.024194336511,1.0000000000000002e-06,4.426715000000001,0.021927684883720933,0.19626908687732075,0.0,4.501041,0.02169440966628308,0.23822567560240793,foxnews.com
833,860,111398.0,40.0,1385.0,133.7310924369748,201.6500317235721,3187582.0,40.0,64280.0,3706.4906976744187,10057.98697142023,5e-06,6.7341370000000005,0.022425118990384615,0.2706942111937767,1.0000000000000002e-06,9.592002,0.0217151490104773,0.3601599329937683,foxnews.com
733,1054,1036569.0,40.0,21940.0,1414.1459754433833,3351.648925679983,876850.0,40.0,20480.0,831.9259962049335,2551.5051927351287,5e-06,5.280565,0.025000087431693987,0.217683964218416,0.0,7.308956,0.0173760579297246,0.3013300862037768,news.google.com
510,484,76750.0,40.0,1385.0,150.49019607843138,247.47800382889855,523514.0,40.0,21940.0,1081.6404958677685,2897.8099403168835,5e-06,5.966303000000001,0.03631036935166995,0.315882056378551,1.0000000000000002e-06,5.967294000000001,0.038260631469979295,0.3482566649371258,cnn.com
292,274,50427.0,40.0,1385.0,172.69520547945206,292.9413219763704,476736.0,40.0,29456.0,1739.912408759124,4614.49992841795,4.000000000000001e-06,8.525995,0.06431178350515464,0.5753444979072175,0.0,12.741047,0.06853817582417583,0.7975126300471386,theguardian.com
918,895,232017.0,40.0,7340.0,252.74183006535947,579.4865905523758,1113795.0,40.0,24295.0,1244.463687150838,3144.160894766841,4.000000000000001e-06,0.713333,0.020433970556161394,0.07065654958841677,0.0,0.7115870000000001,0.020950851230425064,0.07435812883326737,timesofindia.com
510,441,113196.0,40.0,1385.0,221.95294117647057,384.32372382750066,423215.0,40.0,17560.0,959.6712018140589,2480.90135531985,6e-06,5.058737000000001,0.0380166090373281,0.30442288789930233,1.0000000000000002e-06,5.056965,0.04396828636363637,0.40577017716924296,express.co.uk
1343,1158,359308.0,40.0,2928.0,267.54132539091586,443.17993427096616,1156264.0,40.0,20560.0,998.5008635578583,2362.1748470869265,4.000000000000001e-06,3.1667180000000004,0.014341629657228017,0.129551680000904,1.0000000000000002e-06,3.16732,0.01663155315471046,0.1642909327735889,express.co.uk
252,237,29612.0,40.0,1260.0,117.5079365079365,152.4965545182846,271349.0,40.0,21940.0,1144.9324894514768,2967.8892508974295,2.0000000000000003e-06,14.914114000000001,0.07665019920318726,0.9492683356523636,1.0000000000000002e-06,14.916680000000001,0.08150632627118642,0.9791536978547709,nypost.com
245,242,38223.0,40.0,1618.0,156.0122448979592,306.82292487116604,533741.0,40.0,25766.0,2205.5413223140495,4582.9742141608185,8.000000000000001e-06,8.957991,0.07304383196721312,0.682780731883909,1.0000000000000002e-06,8.958632,0.07393641078838174,0.6870799298307789,abc.net.au
492,458,110640.0,40.0,1846.0,224.8780487804878,380.0616861790684,777493.0,40.0,40051.0,1697.5829694323145,5243.269082598382,1.0000000000000002e-06,7.041381,0.03693957637474541,0.36921711119497014,1.0000000000000002e-06,15.251842000000002,0.03967594091903721,0.7134635741398482,nytimes.com
572,538,119581.0,40.0,1849.0,209.05769230769232,361.816300344063,780038.0,40.0,49680.0,1449.8847583643123,4513.120916154014,5e-06,7.5901130000000006,0.03359745534150612,0.3546335428357976,0.0,15.949717000000001,0.03571227746741154,0.6882442173886326,nytimes.com
577,1027,987239.0,40.0,23235.0,1710.9861351819757,4667.22608586867,827461.0,40.0,27260.0,805.7069133398247,2962.7541555023276,1.0000000000000002e-06,6.7919350000000005,0.03362581597222222,0.31029208930408303,0.0,7.932998,0.018872445419103313,0.3342986300515059,news.google.com
372,366,49849.0,40.0,1468.0,134.002688172043,217.13466698022702,685982.0,40.0,19450.0,1874.2677595628415,3342.9492768862674,9e-06,14.329494,0.052152654986522905,0.7475672485319657,1.0000000000000002e-06,14.374362000000001,0.05300227397260274,0.7560083875263588,news.yahoo.com
411,387,72842.0,40.0,1470.0,177.23114355231144,299.066070852296,707119.0,40.0,36540.0,1827.1808785529715,4903.813655854316,5e-06,6.644010000000001,0.04394984878048781,0.41510358550929366,1.0000000000000002e-06,6.641681,0.04663558290155441,0.4797435404808771,news.yahoo.com
598,569,143106.0,40.0,6228.0,239.30769230769232,466.1966633862308,669991.0,40.0,20480.0,1177.4885764499122,3125.4283543534857,0.0,2.971775,0.03425547236180905,0.22600189073791413,0.0,4.975446000000001,0.03600248767605635,0.3295511193122725,news18.com
